name,Snow WaterEquivalent,Snow WaterEquivalent,Water Year-to-DatePrecipitation,Water Year-to-DatePrecipitation,
State  River Basin,# of Sites,Percent ofMedian,# ofSites,Percent ofMedian,NA
ALASKA,ALASKA,ALASKA,ALASKA,ALASKA,ALASKA
ANCHORAGE/SHIP CREEK BASIN,3/4,101,4/4,85,NA
SUSITNA BASIN,2/5,58,4/5,95,NA
NORTHERN KENAI MOUNTAINS,5/7,64,6/7,86,NA
SOUTHERN KENAI,3/6,43,5/6,75,NA
COPPER BASIN,2/3,130,2/3,103,NA
PRINCE WILLIAM SOUND,1/7,48,3/7,89,NA
CHENA BASIN,5/7,193,6/7,157,NA
UPPER TANANA,2/5,475,2/5,156,NA
KOYUKUK BASIN,2/6,41,3/6,100,NA
CENTRAL YUKON BASIN,0/5,*,3/5,153,NA
NORTON SOUND,0/4,*,2/4,120,NA
KUPARUK-SAGAVANIRKTOK RIVER BASIN,0/3,*,3/3,135,NA
NORTHWEST ARCTIC RIVER BASIN,1/1,75,1/1,121,NA
SOUTHEAST ALASKA BASIN,1/3,117,2/3,112,NA
ARIZONA,ARIZONA,ARIZONA,ARIZONA,ARIZONA,ARIZONA
VERDE RIVER BASIN,9/10,*,8/10,101,NA
SAN FRANCISCO PEAKS,1/1,9,1/1,105,NA
CENTRAL MOGOLLON RIM,4/4,*,4/4,95,NA
LITTLE COLORADO RIVER BASIN,11/11,55*,10/11,91,NA
SALT RIVER BASIN,9/10,*,7/10,75,NA
SAN FRANCISCO / UPPER GILA RIVER BASIN,8/8,*,7/8,76,NA
CHUSKA MOUNTAINS,2/2,*,2/2,79,NA
CALIFORNIA,CALIFORNIA,CALIFORNIA,CALIFORNIA,CALIFORNIA,CALIFORNIA
NORTHERN GREAT BASIN,7/8,1*,7/8,92,NA
TRUCKEE RIVER,11/12,29,11/12,107,NA
LAKE TAHOE,11/11,15,11/11,105,NA
CARSON RIVER,12/13,15,12/13,104,NA
WALKER RIVER,7/8,52,7/8,102,NA
COLORADO,COLORADO,COLORADO,COLORADO,COLORADO,COLORADO
GUNNISON RIVER BASIN,15/18,16,15/18,81,NA
UPPER COLORADO RIVER BASIN,31/36,21,32/36,71,NA
SOUTH PLATTE RIVER BASIN,20/22,19,21/22,68,NA
LARAMIE AND NORTH PLATTE RIVER BASINS,11/12,33,12/12,75,NA
YAMPA AND WHITE RIVER BASINS,18/22,28,20/22,77,NA
ARKANSAS RIVER BASIN,11/11,14,11/11,64,NA
UPPER RIO GRANDE BASIN,17/22,13,18/22,76,NA
"SAN MIGUEL, DOLORES, ANIMAS AND SAN JUAN RIVER BASINS",19/22,12,19/22,90,NA
IDAHO,IDAHO,IDAHO,IDAHO,IDAHO,IDAHO
NORTHERN PANHANDLE REGION,9/10,54,9/10,104,NA
COEUR D'ALENE-ST. JOE RIVER BASIN,7/7,45,6/7,108,NA
CLEARWATER BASIN,16/16,73,15/16,110,NA
SALMON BASIN,20/20,69,20/20,105,NA
WEISER BASIN,4/4,6,4/4,96,NA
PAYETTE BASIN,12/12,66,12/12,106,NA
BOISE BASIN,10/11,72,10/11,100,NA
BIG WOOD BASIN,8/9,72,8/9,104,NA
LITTLE WOOD BASIN,4/5,66,4/5,122,NA
BIG LOST BASIN,5/5,65,5/5,122,NA
LITTLE LOST,3/3,65,3/3,114,NA
"BIRCH, MEDICINE LODGE, BEAVER, CAMAS BASINS",4/4,54,4/4,113,NA
"HENRYS FORK, TETON BASINS",7/8,61,7/8,100,NA
SNAKE BASIN ABOVE PALISADES,21/21,60,21/21,107,NA
"WILLOW, BLACKFOOT, PORTNEUF BASINS",6/7,3,6/7,98,NA
SNAKE BASIN ABOVE AMERICAN FALLS,28/29,58,28/29,102,NA
RAFT BASIN,2/2,29,2/2,91,NA
GOOSE CREEK BASIN,2/2,0,2/2,76,NA
SALMON FALLS BASIN,4/6,13,4/6,79,NA
BRUNEAU BASIN,5/8,14,5/8,81,NA
OWYHEE BASIN,8/12,1*,9/12,83,NA
BEAR RIVER BASIN,20/21,37,21/21,100,NA
MONTANA,MONTANA,MONTANA,MONTANA,MONTANA,MONTANA
KOOTENAI RIVER BASIN,7/8,73,8/8,118,NA
FLATHEAD RIVER BASIN,14/17,93,14/17,118,NA
UPPER CLARK FORK RIVER BASIN,14/14,95,14/14,123,NA
BITTERROOT RIVER BASIN,8/8,72,7/8,118,NA
LOWER CLARK FORK RIVER BASIN,8/9,69,8/9,111,NA
JEFFERSON RIVER BASIN,19/21,74,19/21,107,NA
MADISON RIVER BASIN,12/12,74,12/12,101,NA
GALLATIN RIVER BASIN,7/7,66,7/7,99,NA
MISSOURI HEADWATERS,31/31,70,31/31,105,NA
HELENA VALLEY,4/4,66,4/4,121,NA
"SMITH, JUDITH, AND MUSSELSHELL RIVER BASINS",7/9,68,7/9,101,NA
"SUN, TETON AND MARIAS RIVER BASINS",5/6,67,5/6,132,NA
MISSOURI MAINSTEM RIVER BASIN,17/21,69,17/21,117,NA
ST. MARYS RIVER BASIN,2/2,94,2/2,119,NA
MILK RIVER BASIN,0/1,*,0/1,*,NA
UPPER YELLOWSTONE RIVER BASIN,22/22,82,22/22,110,NA
WIND RIVER BASIN (WYOMING),11/13,51,11/13,111,NA
SHOSHONE RIVER BASIN (WYOMING),6/6,68,6/6,115,NA
BIGHORN RIVER BASIN (WYOMING),23/26,64,24/26,106,NA
TONGUE RIVER BASIN (WYOMING),6/7,51,7/7,91,NA
POWDER RIVER BASIN (WYOMING),6/7,27,7/7,98,NA
LOWER YELLOWSTONE RIVER BASIN,31/35,59,33/35,103,NA
NEVADA,NEVADA,NEVADA,NEVADA,NEVADA,NEVADA
NORTHERN GREAT BASIN,7/8,1*,7/8,92,NA
SNAKE RIVER,7/11,9,7/11,80,NA
OWYHEE RIVER,6/10,1*,7/10,82,NA
UPPER HUMBOLDT RIVER,9/17,1,10/17,77,NA
LOWER HUMBOLDT RIVER,6/10,2*,7/10,97,NA
CLOVER VALLEY & FRANKLIN RIVER,5/7,2,5/7,79,NA
EASTERN NEVADA BASINS,5/14,6,5/14,89,NA
SOUTHERN NEVADA - Spring Mountains,3/3,*,3/3,148,NA
NEW MEXICO,NEW MEXICO,NEW MEXICO,NEW MEXICO,NEW MEXICO,NEW MEXICO
RIO CHAMA RIVER BASIN,4/5,1,4/5,74,NA
UPPER RIO GRANDE BASIN - New Mexico,10/12,32*,10/12,58,NA
SANGRE DE CRISTO MOUNTAIN RANGE BASINS,10/11,22,10/11,55,NA
JEMEZ RIVER BASIN,3/4,*,3/4,63,NA
SAN FRANCISCO RIVER BASIN,6/6,*,5/6,74,NA
GILA RIVER BASIN,3/3,*,3/3,81,NA
MIMBRES RIVER BASIN,2/2,*,2/2,82,NA
PECOS RIVER BASIN,3/3,5,3/3,56,NA
SAN JUAN RIVER BASIN,12/13,14,12/13,92,NA
ANIMAS RIVER BASIN,6/7,14,6/7,87,NA
CANADIAN RIVER BASIN,6/7,14*,6/7,47,NA
ZUNI/BLUEWATER RIVER BASIN,1/1,*,1/1,66,NA
RIO HONDO BASIN,1/1,*,1/1,80,NA
CHUSKA MOUNTAINS,2/2,*,2/2,79,NA
OREGON,OREGON,OREGON,OREGON,OREGON,OREGON
OWYHEE,8/12,1*,9/12,83,NA
MALHEUR,3/3,0*,3/3,90,NA
"GRANDE RONDE, POWDER, BURNT, IMNAHA",18/19,26,17/19,90,NA
"UMATILLA, WALLA WALLA, WILLOW",9/10,18*,9/10,96,NA
